index,minute,mv
308,0.5133,170,
309,0.515,154,
310,0.5167,140,
311,0.5183,127,
312,0.52,116,
313,0.5217,106,
314,0.5233,97,
315,0.525,88,
316,0.5267,82,
317,0.5283,74,
318,0.53,69,
319,0.5317,63,
320,0.5333,58,
321,0.535,54,
322,0.5367,50,
323,0.5383,46,
324,0.54,42,
325,0.5417,40,
326,0.5433,36,
327,0.545,34,
328,0.5467,30,
329,0.5483,29,
330,0.55,27,
331,0.5517,24,
332,0.5533,23,
333,0.555,22,
334,0.5567,20,
335,0.5583,18,
336,0.56,16,
337,0.5617,16,
338,0.5633,14,
339,0.565,13,
340,0.5667,12,
341,0.5683,10,
342,0.57,10,
343,0.5717,8,
344,0.5733,8,
345,0.575,6,
346,0.5767,6,
347,0.5783,6,
348,0.58,5,
349,0.5817,4,
350,0.5833,4,
351,0.585,3,
352,0.5867,3,
353,0.5883,2,
354,0.59,1,
355,0.5917,1,
356,0.5933,1,
357,0.595,0,
358,0.5967,-2,
359,0.5983,-1,
360,0.6,-2,
361,0.6017,-2,
362,0.6033,-2,
363,0.605,-3,
364,0.6067,-3,
365,0.6083,-3,
366,0.61,-3,
367,0.6117,-4,
368,0.6133,-4,
369,0.615,-4,
370,0.6167,-5,
371,0.6183,-5,
372,0.62,-6,
373,0.6217,-5,
374,0.6233,-6,
375,0.625,-6,
376,0.6267,-6,
377,0.6283,-6,
378,0.63,-7,
379,0.6317,-6,
380,0.6333,-7,
381,0.635,-7,
382,0.6367,-7,
383,0.6383,-7,
384,0.64,-7,
385,0.6417,-8,
386,0.6433,-8,
387,0.645,-7,
388,0.6467,-8,
389,0.6483,-8,
390,0.65,-9,
391,0.6517,-9,
392,0.6533,-9,
393,0.655,-9,
394,0.6567,-9,
395,0.6583,-10,
396,0.66,-9,
397,0.6617,-10,
398,0.6633,-9,
399,0.665,-10,
400,0.6667,-10,
401,0.6683,-9,
402,0.67,-10,
403,0.6717,-10,
404,0.6733,-10,
405,0.675,-10,
406,0.6767,-10,
407,0.6783,-10,
408,0.68,-11,
409,0.6817,-10,
410,0.6833,-11,
411,0.685,-10,
412,0.6867,-11,
413,0.6883,-11,
414,0.69,-11,
415,0.6917,-11,
416,0.6933,-11,
417,0.695,-11,
418,0.6967,-11,
419,0.6983,-11,
420,0.7,-12,
421,0.7017,-11,
422,0.7033,-11,
423,0.705,-12,
424,0.7067,-11,
425,0.7083,-11,
426,0.71,-12,
427,0.7117,-11,
428,0.7133,-12,
429,0.715,-11,
430,0.7167,-12,
431,0.7183,-11,
432,0.72,-12,
433,0.7217,-11,
434,0.7233,-11,
435,0.725,-11,
436,0.7267,-10,
437,0.7283,-10,
438,0.73,-9,
439,0.7317,-9,
440,0.7333,-8,
441,0.735,-8,
442,0.7367,-5,
443,0.7383,-5,
444,0.74,-3,
445,0.7417,0,
446,0.7433,2,
447,0.745,5,
448,0.7467,8,
449,0.7483,13,
450,0.75,18,
451,0.7517,24,
452,0.7533,31,
453,0.755,39,
454,0.7567,49,
455,0.7583,60,
456,0.76,72,
457,0.7617,87,
458,0.7633,103,
459,0.765,123,
460,0.7667,145,
461,0.7683,169,
462,0.77,196,
463,0.7717,227,
464,0.7733,261,
465,0.775,299,
466,0.7767,340,
467,0.7783,386,
468,0.78,438,
469,0.7817,491,
470,0.7833,552,
471,0.785,615,
472,0.7867,684,
473,0.7883,757,
474,0.79,836,
475,0.7917,918,
476,0.7933,1006,
477,0.795,1097,
478,0.7967,1193,
479,0.7983,1291,
480,0.8,1395,
481,0.8017,1499,
482,0.8033,1607,
483,0.805,1716,
484,0.8067,1825,
485,0.8083,1937,
486,0.81,2047,
487,0.8117,2157,
488,0.8133,2267,
489,0.815,2373,
490,0.8167,2477,
491,0.8183,2578,
492,0.82,2674,
493,0.8217,2764,
494,0.8233,2850,
495,0.825,2930,
496,0.8267,3004,
497,0.8283,3070,
498,0.83,3130,
499,0.8317,3181,
500,0.8333,3225,
501,0.835,3260,
502,0.8367,3288,
503,0.8383,3306,
504,0.84,3315,
505,0.8417,3317,
506,0.8433,3308,
507,0.845,3294,
508,0.8467,3269,
509,0.8483,3239,
510,0.85,3202,
511,0.8517,3156,
512,0.8533,3105,
513,0.855,3048,
514,0.8567,2984,
515,0.8583,2916,
516,0.86,2844,
517,0.8617,2768,
518,0.8633,2689,
519,0.865,2606,
520,0.8667,2522,
521,0.8683,2437,
522,0.87,2349,
