
2011-08-15 14:45:53 500 PipeBiz RealPipeProcess realPipe: A client 接入

2011-08-15 14:45:53 500 PipeBiz RealPipeProcess RealPipe1Process 线程退出！

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess realPipe: B client 接入

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess RealPipe1Process 线程退出！

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess realPipe: C client 接入

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess RealPipe1Process 线程退出！

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess realPipe: D client 接入

2011-08-15 14:45:53 531 PipeBiz RealPipeProcess RealPipe1Process 线程退出！

2011-08-15 14:45:53 546 PipeBiz HisPipeProcess hisPipe client 接入

2011-08-15 14:45:53 546 PipeBiz HisPipeProcess HisPipeProcess 线程退出！

2011-08-15 14:45:53 562 ChromatoFrm ChromatoFrm_Load Chromato 载入

2011-08-15 14:45:53 562 PipeBiz ComparePipeProcess ComparePipeProcess 线程退出！

2011-08-15 14:45:54 437 ChromatoFrm AutoChromatoThread Sleep 2043.75 ms 

2011-08-15 14:45:56 640 ChromatoFrm AutoChromatoThread Sleep 2040.625 ms 

2011-08-15 14:45:58 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:00 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:03 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:46:05 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:46:07 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:46:09 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:11 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:14 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:46:16 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:46:18 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:46:20 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:22 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:24 171 OnGasGroup StopSample Started

2011-08-15 14:46:25 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:46:27 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:46:29 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:46:31 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:33 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:36 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:46:38 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:46:40 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:46:42 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:44 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:47 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:46:49 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:46:51 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:46:53 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:46:55 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:46:58 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:47:00 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:47:02 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:47:04 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:47:06 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:47:09 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:47:11 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:47:13 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:47:15 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:47:17 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:47:20 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:47:22 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

2011-08-15 14:47:24 484 ChromatoFrm AutoChromatoThread Sleep 2196.875 ms 

2011-08-15 14:47:26 687 ChromatoFrm AutoChromatoThread Sleep 2193.75 ms 

2011-08-15 14:47:28 890 ChromatoFrm AutoChromatoThread Sleep 2190.625 ms 

2011-08-15 14:47:31 093 ChromatoFrm AutoChromatoThread Sleep 2187.5 ms 

2011-08-15 14:47:33 296 ChromatoFrm AutoChromatoThread Sleep 2184.375 ms 

